Season,TeamName,BoxscoreIndex
2020,Arizona,2019-11-06-21-arizona
2020,Arizona,2019-11-10-21-arizona
2020,Arizona,2019-11-14-20-arizona
2020,Arizona,2019-11-17-14-arizona
2020,Arizona,2019-11-21-21-arizona
2020,Arizona,2019-11-24-20-arizona
2020,Arizona,2019-11-28-23-arizona
2020,Arizona,2019-11-29-23-arizona
2020,Arizona,2019-12-01-21-arizona
2020,Arizona,2019-12-07-12-baylor
2020,Arizona,2019-12-11-20-arizona
2020,Arizona,2019-12-14-22-arizona
2020,Arizona,2019-12-21-22-arizona
2020,Arizona,2020-01-04-21-arizona
2020,Arizona,2020-01-09-21-oregon
2020,Arizona,2020-01-12-22-oregon-state
2020,Arizona,2020-01-16-20-arizona
2020,Arizona,2020-01-18-14-arizona
2020,Arizona,2020-01-25-21-arizona-state
2020,Arizona,2020-01-30-21-washington
2020,Arizona,2020-02-01-20-washington-state
2020,Arizona,2020-02-06-21-arizona
2020,Arizona,2020-02-08-22-arizona
2020,Arizona,2020-02-13-22-california
2020,Arizona,2020-02-15-22-stanford
2020,Arizona,2020-02-20-20-arizona
2020,Arizona,2020-02-22-21-arizona
2020,Arizona,2020-02-27-22-southern-california
2020,Arizona,2020-02-29-22-ucla
2020,Arizona,2020-03-05-22-arizona
2020,Arizona,2020-03-07-22-arizona
2020,Arizona,2020-03-11-17-arizona
2020,Little Rock,2019-11-05-20-missouri-state
2020,Little Rock,2019-11-10-16-illinois-state
2020,Little Rock,2019-11-14-19-arkansas-little-rock
2020,Little Rock,2019-11-17-15-central-arkansas
2020,Little Rock,2019-11-20-20-memphis
2020,Little Rock,2019-11-23-13-north-carolina-state
2020,Little Rock,2019-11-26-19-arkansas-little-rock
2020,Little Rock,2019-11-27-19-arkansas-little-rock
2020,Little Rock,2019-11-30-15-arkansas-little-rock
2020,Little Rock,2019-12-07-18-north-texas
2020,Little Rock,2019-12-10-19-arkansas-little-rock
2020,Little Rock,2019-12-19-20-louisiana-monroe
2020,Little Rock,2019-12-21-20-louisiana-lafayette
2020,Little Rock,2020-01-02-19-arkansas-little-rock
2020,Little Rock,2020-01-04-15-arkansas-little-rock
2020,Little Rock,2020-01-06-19-arkansas-little-rock
2020,Little Rock,2020-01-09-19-troy
2020,Little Rock,2020-01-11-17-arkansas-little-rock
2020,Little Rock,2020-01-16-19-coastal-carolina
2020,Little Rock,2020-01-18-16-appalachian-state
2020,Little Rock,2020-01-22-19-arkansas-little-rock
2020,Little Rock,2020-01-25-20-south-alabama
2020,Little Rock,2020-01-30-19-arkansas-little-rock
2020,Little Rock,2020-02-01-15-arkansas-little-rock
2020,Little Rock,2020-02-08-15-arkansas-little-rock
2020,Little Rock,2020-02-13-20-texas-state
2020,Little Rock,2020-02-15-15-texas-arlington
2020,Little Rock,2020-02-22-17-arkansas-state
2020,Little Rock,2020-02-27-19-arkansas-little-rock
2020,Little Rock,2020-02-29-15-arkansas-little-rock
2020,Little Rock,2020-03-03-19-georgia-state
2020,Arkansas-Pine Bluff,2019-11-05-20-south-florida
2020,Arkansas-Pine Bluff,2019-11-09-20-gonzaga
2020,Arkansas-Pine Bluff,2019-11-16-20-grand-canyon
2020,Arkansas-Pine Bluff,2019-11-19-20-kansas-state
2020,Arkansas-Pine Bluff,2019-11-21-19-pittsburgh
2020,Arkansas-Pine Bluff,2019-11-25-20-arkansas-pine-bluff
2020,Arkansas-Pine Bluff,2019-12-04-20-tulsa
2020,Arkansas-Pine Bluff,2019-12-07-21-texas-el-paso
2020,Arkansas-Pine Bluff,2019-12-14-18-oregon-state
2020,Arkansas-Pine Bluff,2019-12-18-21-new-mexico-state
2020,Arkansas-Pine Bluff,2019-12-21-18-north-texas
2020,Arkansas-Pine Bluff,2019-12-29-20-washington-state
2020,Arkansas-Pine Bluff,2020-01-04-17-mississippi-valley-state
2020,Arkansas-Pine Bluff,2020-01-11-18-alabama-am
2020,Arkansas-Pine Bluff,2020-01-13-20-alabama-state
2020,Arkansas-Pine Bluff,2020-01-18-20-arkansas-pine-bluff
2020,Arkansas-Pine Bluff,2020-01-20-20-arkansas-pine-bluff
2020,Arkansas-Pine Bluff,2020-01-25-18-prairie-view
2020,Arkansas-Pine Bluff,2020-01-27-20-texas-southern
2020,Arkansas-Pine Bluff,2020-02-01-20-arkansas-pine-bluff
2020,Arkansas-Pine Bluff,2020-02-03-20-arkansas-pine-bluff
2020,Arkansas-Pine Bluff,2020-02-08-20-arkansas-pine-bluff
2020,Arkansas-Pine Bluff,2020-02-10-20-arkansas-pine-bluff
2020,Arkansas-Pine Bluff,2020-02-15-18-southern
2020,Arkansas-Pine Bluff,2020-02-17-20-alcorn-state
2020,Arkansas-Pine Bluff,2020-02-22-20-arkansas-pine-bluff
2020,Arkansas-Pine Bluff,2020-02-24-20-arkansas-pine-bluff
2020,Arkansas-Pine Bluff,2020-02-29-18-grambling
2020,Arkansas-Pine Bluff,2020-03-02-20-jackson-state
2020,Arkansas-Pine Bluff,2020-03-07-20-arkansas-pine-bluff
2020,Arkansas State,2019-11-06-20-arkansas-state
2020,Arkansas State,2019-11-08-19-mississippi
2020,Arkansas State,2019-11-14-20-arkansas-state
2020,Arkansas State,2019-11-15-20-arkansas-state
2020,Arkansas State,2019-11-17-14-arkansas-state
2020,Arkansas State,2019-11-20-21-colorado-state
2020,Arkansas State,2019-11-30-17-arkansas-state
2020,Arkansas State,2019-12-03-20-arkansas-state
2020,Arkansas State,2019-12-07-15-tulsa
2020,Arkansas State,2019-12-11-20-missouri-state
2020,Arkansas State,2019-12-18-20-arkansas-state
2020,Arkansas State,2019-12-21-15-louisiana-monroe
2020,Arkansas State,2019-12-28-17-arkansas-state
2020,Arkansas State,2020-01-02-20-arkansas-state
2020,Arkansas State,2020-01-04-15-arkansas-state
2020,Arkansas State,2020-01-06-20-arkansas-state
2020,Arkansas State,2020-01-09-20-south-alabama
2020,Arkansas State,2020-01-11-17-arkansas-state
2020,Arkansas State,2020-01-16-19-appalachian-state
2020,Arkansas State,2020-01-18-14-coastal-carolina
2020,Arkansas State,2020-01-23-20-arkansas-state
2020,Arkansas State,2020-01-25-17-troy
2020,Arkansas State,2020-01-30-20-arkansas-state
2020,Arkansas State,2020-02-01-17-arkansas-state
2020,Arkansas State,2020-02-08-15-arkansas-little-rock
2020,Arkansas State,2020-02-13-20-texas-arlington
2020,Arkansas State,2020-02-15-15-texas-state
2020,Arkansas State,2020-02-19-20-arkansas-state
2020,Arkansas State,2020-02-22-17-arkansas-state
2020,Arkansas State,2020-02-26-20-louisiana-lafayette
2020,Arkansas State,2020-03-03-19-georgia-southern
2020,Arkansas State,2020-03-07-12-louisiana-lafayette
2020,Arkansas,2019-11-05-20-arkansas
2020,Arkansas,2019-11-12-20-arkansas
2020,Arkansas,2019-11-16-17-arkansas
2020,Arkansas,2019-11-19-20-arkansas
2020,Arkansas,2019-11-22-21-arkansas
2020,Arkansas,2019-11-25-19-georgia-tech
2020,Arkansas,2019-11-30-17-arkansas
2020,Arkansas,2019-12-03-20-arkansas
2020,Arkansas,2019-12-07-19-western-kentucky
2020,Arkansas,2019-12-14-13-arkansas
2020,Arkansas,2019-12-21-20-valparaiso
2020,Arkansas,2019-12-29-18-indiana
2020,Arkansas,2020-01-04-19-arkansas
2020,Arkansas,2020-01-08-21-louisiana-state
2020,Arkansas,2020-01-11-18-mississippi
2020,Arkansas,2020-01-15-20-arkansas
2020,Arkansas,2020-01-18-16-arkansas
2020,Arkansas,2020-01-22-19-mississippi-state
2020,Arkansas,2020-01-25-16-arkansas
2020,Arkansas,2020-01-29-20-arkansas
2020,Arkansas,2020-02-01-18-alabama
2020,Arkansas,2020-02-04-19-arkansas
2020,Arkansas,2020-02-08-15-missouri
2020,Arkansas,2020-02-11-19-tennessee
2020,Arkansas,2020-02-15-13-arkansas
2020,Arkansas,2020-02-18-19-florida
2020,Arkansas,2020-02-22-13-arkansas
2020,Arkansas,2020-02-26-20-arkansas
2020,Arkansas,2020-02-29-18-georgia
2020,Arkansas,2020-03-04-19-arkansas
2020,Arkansas,2020-03-07-16-texas-am
2020,Arkansas,2020-03-11-21-arkansas
2020,Army,2019-11-05-20-villanova
2020,Army,2019-11-08-18-army
2020,Army,2019-11-12-19-army
2020,Army,2019-11-18-19-army
2020,Army,2019-11-23-16-binghamton
2020,Army,2019-11-30-19-marist
2020,Army,2019-12-04-19-army
2020,Army,2019-12-07-13-army
2020,Army,2019-12-11-19-merrimack
2020,Army,2019-12-14-14-buffalo
2020,Army,2019-12-21-14-wagner
2020,Army,2020-01-02-19-bucknell
2020,Army,2020-01-06-19-army
2020,Army,2020-01-08-19-army
2020,Army,2020-01-11-13-boston-university
2020,Army,2020-01-16-14-holy-cross
2020,Army,2020-01-18-13-army
2020,Army,2020-01-22-19-lafayette
2020,Army,2020-01-25-13-navy
2020,Army,2020-01-29-11-army
2020,Army,2020-02-01-19-lehigh
2020,Army,2020-02-05-19-army
2020,Army,2020-02-08-14-american
2020,Army,2020-02-12-19-army
2020,Army,2020-02-15-13-army
2020,Army,2020-02-19-19-loyola-md
2020,Army,2020-02-22-13-army
